epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,518.594,2.19778,3.12677,2.11448,0.29998,0.13402,0.12054,0.04516,2.31233,3.12755,2.13668,0.0670196,0.000333135,0.000333135
2,1023.33,2.11309,2.86847,2.03032,0.32609,0.27826,0.21832,0.07802,2.28172,2.89845,2.10375,0.0340196,0.000666427,0.000666427
3,1523.77,2.05785,2.76721,1.96714,0.35945,0.32613,0.27264,0.10347,2.15418,2.67878,1.94421,0.0010194,0.000999555,0.000999555
4,2022.21,2.00973,2.66065,1.92,0.38639,0.34371,0.29616,0.11302,2.15246,2.51473,1.90847,0.000999445,0.000999445,0.000999445
5,2530.55,1.95981,2.56458,1.87223,0.4244,0.36801,0.33764,0.13689,2.11648,2.43716,1.8744,0.000999013,0.000999013,0.000999013
6,3028.99,1.93768,2.48368,1.85037,0.46042,0.39762,0.37413,0.15591,2.01917,2.28606,1.78801,0.000998459,0.000998459,0.000998459
7,3527.97,1.90767,2.42952,1.82209,0.47328,0.39308,0.37422,0.16313,2.00146,2.22489,1.77406,0.000997781,0.000997781,0.000997781
8,4026.08,1.89372,2.39474,1.80782,0.45674,0.42713,0.4034,0.17848,1.96507,2.19632,1.75497,0.000996981,0.000996981,0.000996981
9,4524.82,1.87725,2.34845,1.79273,0.50741,0.42411,0.42417,0.18686,1.95474,2.19722,1.75108,0.000996058,0.000996058,0.000996058
10,5033.58,1.86212,2.32016,1.78028,0.50756,0.42284,0.42779,0.19255,1.94039,2.11799,1.74195,0.000995012,0.000995012,0.000995012
11,5533.05,1.84661,2.2818,1.77056,0.5041,0.44584,0.43627,0.20214,1.91733,2.08219,1.71202,0.000993845,0.000993845,0.000993845
12,6032.86,1.83756,2.25542,1.75435,0.51722,0.4601,0.45781,0.21815,1.86231,2.06128,1.66446,0.000992555,0.000992555,0.000992555
13,6533.33,1.8259,2.23987,1.75074,0.53477,0.46968,0.47476,0.22171,1.86482,2.04005,1.67666,0.000991145,0.000991145,0.000991145
